î[ïiî‘çÜ,å_ñÒî‘çÜ,î[ïiì˙,ã@äÌå^î‘
DLV-00138243,CTR-41639-A2-01014,2014-01-31,MCN000014
DLV-00138244,CTR-41639-A2-01101,2014-01-31,MCN000014
DLV-00138245,CTR-41639-A2-01101,2014-01-31,MCN000014
DLV-00138246,CTR-41639-A2-01101,2014-01-31,MCN000009
DLV-00138247,CTR-41639-A2-01101,2014-01-31,MCN000009
DLV-00138248,CTR-41639-A2-01101,2014-01-31,MCN000014
DLV-00138249,CTR-41639-A2-01115,2014-01-31,MCN000001
DLV-00138250,CTR-41639-A3-00013,2014-01-31,MCN000001
DLV-00138251,CTR-41639-A3-00013,2014-01-31,MCN000009
DLV-00138252,CTR-41639-A3-00061,2014-01-31,MCN000001
DLV-00138253,CTR-41639-A3-00061,2014-01-31,MCN000001
DLV-00138254,CTR-41639-A3-00118,2014-01-31,MCN000009
DLV-00138255,CTR-41639-A3-00118,2014-01-31,MCN000014
DLV-00138256,CTR-41639-A3-00118,2014-01-31,MCN000014
DLV-00138257,CTR-41639-A3-00130,2014-01-31,MCN000009
DLV-00138258,CTR-41639-A3-00130,2014-01-31,MCN000009
DLV-00138259,CTR-41639-A3-00130,2014-01-31,MCN000014
DLV-00138260,CTR-41639-A3-00130,2014-01-31,MCN000014
DLV-00138261,CTR-41639-A3-00130,2014-01-31,MCN000014
DLV-00138262,CTR-41639-A3-00137,2014-01-31,MCN000001
DLV-00138263,CTR-41639-A3-00137,2014-01-31,MCN000014
DLV-00138264,CTR-41639-A3-00137,2014-01-31,MCN000014
DLV-00138265,CTR-41639-A3-00137,2014-01-31,MCN000001
DLV-00138266,CTR-41639-A3-00152,2014-01-31,MCN000009
DLV-00138267,CTR-41639-A3-00152,2014-01-31,MCN000009
DLV-00138268,CTR-41639-A3-00152,2014-01-31,MCN000001
DLV-00138269,CTR-41639-A3-00152,2014-01-31,MCN000001
DLV-00138270,CTR-41639-A3-00152,2014-01-31,MCN000009
DLV-00138271,CTR-41639-A3-00152,2014-01-31,MCN000009
DLV-00138272,CTR-41639-A3-00152,2014-01-31,MCN000001
DLV-00138273,CTR-41639-A3-00207,2014-01-31,MCN000009
DLV-00138274,CTR-41639-A3-00207,2014-01-31,MCN000009
DLV-00138275,CTR-41639-A3-00207,2014-01-31,MCN000009
DLV-00138276,CTR-41639-A3-00235,2014-01-31,MCN000001
DLV-00138277,CTR-41639-A3-00235,2014-01-31,MCN000001
DLV-00138278,CTR-41639-A3-00235,2014-01-31,MCN000001
DLV-00138279,CTR-41639-A3-00235,2014-01-31,MCN000009
DLV-00138280,CTR-41639-A3-00256,2014-01-31,MCN000001
DLV-00138281,CTR-41639-A3-00256,2014-01-31,MCN000009
DLV-00138282,CTR-41639-A3-00256,2014-01-31,MCN000009
DLV-00138283,CTR-41639-A3-00327,2014-01-31,MCN000014
DLV-00138284,CTR-41639-A3-00327,2014-01-31,MCN000014
DLV-00138285,CTR-41639-A3-00327,2014-01-31,MCN000009
DLV-00138286,CTR-41639-A3-00327,2014-01-31,MCN000001
DLV-00138287,CTR-41639-A3-00327,2014-01-31,MCN000014
DLV-00138288,CTR-41639-A3-00327,2014-01-31,MCN000009
DLV-00138289,CTR-41639-A3-00327,2014-01-31,MCN000009
DLV-00138290,CTR-41639-A3-00390,2014-01-31,MCN000009
DLV-00138291,CTR-41639-A3-00390,2014-01-31,MCN000001
DLV-00138292,CTR-41639-A3-00410,2014-01-31,MCN000009
DLV-00138293,CTR-41639-A3-00410,2014-01-31,MCN000001
DLV-00138294,CTR-41639-A3-00410,2014-01-31,MCN000001
DLV-00138295,CTR-41639-A3-00410,2014-01-31,MCN000014
DLV-00138296,CTR-41639-A3-00410,2014-01-31,MCN000014
DLV-00138297,CTR-41639-A3-00410,2014-01-31,MCN000009
DLV-00138298,CTR-41639-A3-00410,2014-01-31,MCN000009
DLV-00138299,CTR-41639-A3-00410,2014-01-31,MCN000001
DLV-00138300,CTR-41639-A3-00410,2014-01-31,MCN000009
DLV-00138301,CTR-41639-A3-00410,2014-01-31,MCN000014
DLV-00138302,CTR-41639-A3-00410,2014-01-31,MCN000009
DLV-00138303,CTR-41639-A3-00576,2014-01-31,MCN000014
DLV-00138304,CTR-41639-A3-00576,2014-01-31,MCN000001
DLV-00138305,CTR-41639-A3-00576,2014-01-31,MCN000014
DLV-00138306,CTR-41639-A3-00576,2014-01-31,MCN000014
DLV-00138307,CTR-41639-A3-00576,2014-01-31,MCN000001
DLV-00138308,CTR-41639-A3-00576,2014-01-31,MCN000009
DLV-00138309,CTR-41639-A3-00604,2014-01-31,MCN000009
DLV-00138310,CTR-41639-A3-00735,2014-01-31,MCN000001
DLV-00138311,CTR-41639-A3-00735,2014-01-31,MCN000001
DLV-00138312,CTR-41639-A3-00735,2014-01-31,MCN000014
DLV-00138313,CTR-41639-A3-00735,2014-01-31,MCN000001
DLV-00138314,CTR-41639-A3-00735,2014-01-31,MCN000014
DLV-00138315,CTR-41639-A3-00735,2014-01-31,MCN000001
DLV-00138316,CTR-41639-A3-00735,2014-01-31,MCN000014
DLV-00138317,CTR-41639-A3-00790,2014-01-31,MCN000014
DLV-00138318,CTR-41639-A3-00790,2014-01-31,MCN000009
DLV-00138319,CTR-41639-A3-00790,2014-01-31,MCN000009
DLV-00138320,CTR-41639-A3-00790,2014-01-31,MCN000014
DLV-00138321,CTR-41639-A3-00790,2014-01-31,MCN000014
DLV-00138322,CTR-41639-A3-00790,2014-01-31,MCN000001
DLV-00138323,CTR-41639-A3-00790,2014-01-31,MCN000014
DLV-00138324,CTR-41639-A3-00790,2014-01-31,MCN000001
DLV-00138325,CTR-41639-A3-00790,2014-01-31,MCN000014
DLV-00138326,CTR-41639-A3-00790,2014-01-31,MCN000014
DLV-00138327,CTR-41639-A3-00853,2014-01-31,MCN000009
DLV-00138328,CTR-41639-A3-00853,2014-01-31,MCN000009
DLV-00138329,CTR-41639-A3-00875,2014-01-31,MCN000009
DLV-00138330,CTR-41639-A3-00875,2014-01-31,MCN000014
DLV-00138331,CTR-41639-A3-00875,2014-01-31,MCN000009
DLV-00138332,CTR-41639-A3-00875,2014-01-31,MCN000001
DLV-00138333,CTR-41639-A3-00875,2014-01-31,MCN000014
DLV-00138334,CTR-41639-A3-00875,2014-01-31,MCN000014
DLV-00138335,CTR-41639-A3-00875,2014-01-31,MCN000001
DLV-00138336,CTR-41639-A3-00880,2014-01-31,MCN000014
DLV-00138337,CTR-41639-A3-00880,2014-01-31,MCN000014
DLV-00138338,CTR-41639-A3-00880,2014-01-31,MCN000009
DLV-00138339,CTR-41639-A3-00880,2014-01-31,MCN000014
DLV-00138340,CTR-41639-A3-00880,2014-01-31,MCN000014
DLV-00138341,CTR-41639-A3-00880,2014-01-31,MCN000009
DLV-00138342,CTR-41639-A3-00880,2014-01-31,MCN000001
DLV-00138343,CTR-41639-A3-01065,2014-01-31,MCN000014
DLV-00138344,CTR-41639-A3-01065,2014-01-31,MCN000014
DLV-00138345,CTR-41639-A3-01085,2014-01-31,MCN000014
DLV-00138346,CTR-41639-A4-00006,2014-01-31,MCN000001
DLV-00138347,CTR-41639-A4-00006,2014-01-31,MCN000001
DLV-00138348,CTR-41639-A4-00061,2014-01-31,MCN000014
DLV-00138349,CTR-41639-A4-00183,2014-01-31,MCN000001
DLV-00138350,CTR-41639-A4-00225,2014-01-31,MCN000014
DLV-00138351,CTR-41639-A4-00225,2014-01-31,MCN000009
DLV-00138352,CTR-41639-A4-00422,2014-01-31,MCN000009
DLV-00138353,CTR-41639-A4-00422,2014-01-31,MCN000001
DLV-00138354,CTR-41639-A4-00480,2014-01-31,MCN000009
DLV-00138355,CTR-41639-A4-00512,2014-01-31,MCN000009
DLV-00138356,CTR-41639-A4-00512,2014-01-31,MCN000009
DLV-00138357,CTR-41639-A4-00561,2014-01-31,MCN000014
DLV-00138358,CTR-41639-A4-00610,2014-01-31,MCN000014
DLV-00138359,CTR-41639-A4-00610,2014-01-31,MCN000014
DLV-00138360,CTR-41639-A4-00617,2014-01-31,MCN000009
DLV-00138361,CTR-41639-A4-00617,2014-01-31,MCN000014
DLV-00138362,CTR-41639-A4-00636,2014-01-31,MCN000009
DLV-00138363,CTR-41639-A4-00636,2014-01-31,MCN000001
DLV-00138364,CTR-41639-A4-00636,2014-01-31,MCN000001
DLV-00138365,CTR-41639-A4-00636,2014-01-31,MCN000009
DLV-00138366,CTR-41639-A4-00636,2014-01-31,MCN000001
DLV-00138367,CTR-41639-A4-00636,2014-01-31,MCN000014
DLV-00138368,CTR-41639-A4-00636,2014-01-31,MCN000014
DLV-00138369,CTR-41639-A4-00636,2014-01-31,MCN000014
DLV-00138370,CTR-41639-A4-00843,2014-01-31,MCN000001
DLV-00138371,CTR-41639-A4-00843,2014-01-31,MCN000014
DLV-00138372,CTR-41639-A4-00843,2014-01-31,MCN000001
DLV-00138373,CTR-41639-A4-00843,2014-01-31,MCN000001
DLV-00138374,CTR-41639-A4-00843,2014-01-31,MCN000001
DLV-00138375,CTR-41639-A4-00843,2014-01-31,MCN000014
DLV-00138376,CTR-41639-A4-00853,2014-01-31,MCN000009
DLV-00138377,CTR-41639-A4-00901,2014-01-31,MCN000009
DLV-00138378,CTR-41639-A4-00901,2014-01-31,MCN000014
DLV-00138379,CTR-41639-A4-00901,2014-01-31,MCN000009
DLV-00138380,CTR-41639-A4-00908,2014-01-31,MCN000009
DLV-00138381,CTR-41639-A4-00930,2014-01-31,MCN000014
DLV-00138382,CTR-41639-A4-00930,2014-01-31,MCN000009
DLV-00138383,CTR-41639-A4-00930,2014-01-31,MCN000009
DLV-00138384,CTR-41639-A4-00952,2014-01-31,MCN000009
DLV-00138385,CTR-41639-A4-00952,2014-01-31,MCN000009
DLV-00138386,CTR-41639-A4-00952,2014-01-31,MCN000001
DLV-00138387,CTR-41639-A4-00961,2014-01-31,MCN000009
DLV-00138388,CTR-41639-A4-00979,2014-01-31,MCN000009
DLV-00138389,CTR-41639-A4-01066,2014-01-31,MCN000014
DLV-00138390,CTR-41639-A4-01085,2014-01-31,MCN000001
DLV-00138391,CTR-41639-A4-01097,2014-01-31,MCN000001
DLV-00138392,CTR-41639-A4-01097,2014-01-31,MCN000001
DLV-00138393,CTR-41639-A4-01097,2014-01-31,MCN000014
DLV-00138394,CTR-41639-A4-01097,2014-01-31,MCN000009
DLV-00138395,CTR-41639-A4-01115,2014-01-31,MCN000014
DLV-00138396,CTR-41639-A4-01115,2014-01-31,MCN000001
DLV-00138397,CTR-41639-A4-01115,2014-01-31,MCN000014
DLV-00138398,CTR-41639-A4-01115,2014-01-31,MCN000014
DLV-00138399,CTR-41639-A4-01118,2014-01-31,MCN000014
DLV-00138400,CTR-41639-A5-00006,2014-01-31,MCN000001
DLV-00138401,CTR-41639-A5-00201,2014-01-31,MCN000009
DLV-00138402,CTR-41639-A5-00201,2014-01-31,MCN000014
DLV-00138403,CTR-41639-A5-00201,2014-01-31,MCN000001
DLV-00138404,CTR-41639-A5-00201,2014-01-31,MCN000001
DLV-00138405,CTR-41639-A5-00255,2014-01-31,MCN000001
DLV-00138406,CTR-41639-A5-00255,2014-01-31,MCN000009
DLV-00138407,CTR-41639-A5-00255,2014-01-31,MCN000009
DLV-00138408,CTR-41639-A5-00256,2014-01-31,MCN000001
DLV-00138409,CTR-41639-A5-00256,2014-01-31,MCN000014
DLV-00138410,CTR-41639-A5-00256,2014-01-31,MCN000001
DLV-00138411,CTR-41639-A5-00515,2014-01-31,MCN000001
DLV-00138412,CTR-41639-A5-00515,2014-01-31,MCN000009
DLV-00138413,CTR-41639-A5-00515,2014-01-31,MCN000001
DLV-00138414,CTR-41639-A5-00515,2014-01-31,MCN000014
DLV-00138415,CTR-41639-A5-00515,2014-01-31,MCN000001
DLV-00138416,CTR-41639-A5-00521,2014-01-31,MCN000009
DLV-00138417,CTR-41639-A5-00521,2014-01-31,MCN000014
DLV-00138418,CTR-41639-A5-00593,2014-01-31,MCN000001
DLV-00138419,CTR-41639-A5-00593,2014-01-31,MCN000001
DLV-00138420,CTR-41639-A5-00593,2014-01-31,MCN000001
DLV-00138421,CTR-41639-A5-00593,2014-01-31,MCN000001
DLV-00138422,CTR-41639-A5-00627,2014-01-31,MCN000014
DLV-00138423,CTR-41639-A5-00627,2014-01-31,MCN000001
DLV-00138424,CTR-41639-A5-00636,2014-01-31,MCN000001
DLV-00138425,CTR-41639-A5-00636,2014-01-31,MCN000009
DLV-00138426,CTR-41639-A5-00636,2014-01-31,MCN000001
DLV-00138427,CTR-41639-A5-00636,2014-01-31,MCN000014
DLV-00138428,CTR-41639-A5-00636,2014-01-31,MCN000014
DLV-00138429,CTR-41639-A5-00646,2014-01-31,MCN000001
DLV-00138430,CTR-41639-A5-00677,2014-01-31,MCN000001
DLV-00138431,CTR-41639-A5-00677,2014-01-31,MCN000001
DLV-00138432,CTR-41639-A5-00677,2014-01-31,MCN000014
DLV-00138433,CTR-41639-A5-00682,2014-01-31,MCN000009
DLV-00138434,CTR-41639-A5-00718,2014-01-31,MCN000009
DLV-00138435,CTR-41639-A5-00810,2014-01-31,MCN000014
DLV-00138436,CTR-41639-A5-00810,2014-01-31,MCN000009
DLV-00138437,CTR-41639-A5-00853,2014-01-31,MCN000009
DLV-00138438,CTR-41639-A5-00853,2014-01-31,MCN000009
DLV-00138439,CTR-41639-A5-00884,2014-01-31,MCN000009
DLV-00138440,CTR-41639-A5-00884,2014-01-31,MCN000014
DLV-00138441,CTR-41639-A5-00884,2014-01-31,MCN000009
DLV-00138442,CTR-41639-A5-00884,2014-01-31,MCN000001
DLV-00138443,CTR-41639-A5-00884,2014-01-31,MCN000009
DLV-00138444,CTR-41639-A5-00908,2014-01-31,MCN000014
DLV-00138445,CTR-41639-A5-00990,2014-01-31,MCN000001
DLV-00138446,CTR-41639-A5-00990,2014-01-31,MCN000009
DLV-00138447,CTR-41639-A5-00990,2014-01-31,MCN000014
DLV-00138448,CTR-41639-A5-00997,2014-01-31,MCN000009
DLV-00138449,CTR-41639-A5-00997,2014-01-31,MCN000001
DLV-00138450,CTR-41639-A5-00997,2014-01-31,MCN000009
DLV-00138451,CTR-41639-A5-01053,2014-01-31,MCN000014
DLV-00138452,CTR-41639-A5-01053,2014-01-31,MCN000001
DLV-00138453,CTR-41639-A5-01053,2014-01-31,MCN000001
DLV-00138454,CTR-41639-A5-01053,2014-01-31,MCN000009
DLV-00138455,CTR-41639-A5-01080,2014-01-31,MCN000001
DLV-00138456,CTR-41639-A5-01091,2014-01-31,MCN000014
DLV-00138457,CTR-41639-A5-01091,2014-01-31,MCN000001
DLV-00138458,CTR-41639-A5-01091,2014-01-31,MCN000009
DLV-00138459,CTR-41639-A5-01097,2014-01-31,MCN000001
DLV-00138460,CTR-41639-A5-01097,2014-01-31,MCN000009
DLV-00138461,CTR-41639-A5-01097,2014-01-31,MCN000014
DLV-00138462,CTR-41639-A5-01097,2014-01-31,MCN000009
DLV-00138463,CTR-41639-A5-01097,2014-01-31,MCN000001
DLV-00138464,CTR-41639-A5-01097,2014-01-31,MCN000014
DLV-00138465,CTR-41639-A5-01115,2014-01-31,MCN000009
DLV-00138466,CTR-41639-A5-01115,2014-01-31,MCN000009
DLV-00138467,CTR-41639-A5-01115,2014-01-31,MCN000009
DLV-00138468,CTR-41639-A5-01115,2014-01-31,MCN000009
DLV-00138469,CTR-41639-A5-01115,2014-01-31,MCN000009
DLV-00138470,CTR-41639-A5-01145,2014-01-31,MCN000001
DLV-00138471,CTR-41639-A5-01145,2014-01-31,MCN000009
DLV-00138472,CTR-41639-A5-01145,2014-01-31,MCN000001
DLV-00138473,CTR-41639-A6-00060,2014-01-31,MCN000014
DLV-00138474,CTR-41639-A6-00060,2014-01-31,MCN000009
DLV-00138475,CTR-41639-A6-00083,2014-01-31,MCN000014
DLV-00138476,CTR-41639-A6-00132,2014-01-31,MCN000009
DLV-00138477,CTR-41639-A6-00186,2014-01-31,MCN000001
DLV-00138478,CTR-41639-A6-00186,2014-01-31,MCN000009
DLV-00138479,CTR-41639-A6-00186,2014-01-31,MCN000001
DLV-00138480,CTR-41639-A6-00186,2014-01-31,MCN000009
DLV-00138481,CTR-41639-A6-00254,2014-01-31,MCN000009
DLV-00138482,CTR-41639-A6-00372,2014-01-31,MCN000001
DLV-00138483,CTR-41639-A6-00372,2014-01-31,MCN000009
DLV-00138484,CTR-41639-A6-00372,2014-01-31,MCN000001
DLV-00138485,CTR-41639-A6-00410,2014-01-31,MCN000001
DLV-00138486,CTR-41639-A6-00481,2014-01-31,MCN000009
DLV-00138487,CTR-41639-A6-00481,2014-01-31,MCN000009
DLV-00138488,CTR-41639-A6-00481,2014-01-31,MCN000009
DLV-00138489,CTR-41639-A6-00681,2014-01-31,MCN000014
DLV-00138490,CTR-41639-A6-00681,2014-01-31,MCN000001
DLV-00138491,CTR-41639-A6-00681,2014-01-31,MCN000001
DLV-00138492,CTR-41639-A6-00718,2014-01-31,MCN000001
DLV-00138493,CTR-41639-A6-00783,2014-01-31,MCN000001
DLV-00138494,CTR-41639-A6-00783,2014-01-31,MCN000001
DLV-00138495,CTR-41639-A6-00842,2014-01-31,MCN000014
DLV-00138496,CTR-41639-A6-00842,2014-01-31,MCN000001
DLV-00138497,CTR-41639-A6-00842,2014-01-31,MCN000014
DLV-00138498,CTR-41639-A6-00842,2014-01-31,MCN000009
DLV-00138499,CTR-41639-A6-00842,2014-01-31,MCN000009
DLV-00138500,CTR-41639-A6-00842,2014-01-31,MCN000009
DLV-00138501,CTR-41639-A6-00842,2014-01-31,MCN000014
DLV-00138502,CTR-41639-A6-00842,2014-01-31,MCN000014
DLV-00138503,CTR-41639-A6-00868,2014-01-31,MCN000001
DLV-00138504,CTR-41639-A6-00868,2014-01-31,MCN000014
DLV-00138505,CTR-41639-A6-00883,2014-01-31,MCN000014
DLV-00138506,CTR-41639-A6-00883,2014-01-31,MCN000009
DLV-00138507,CTR-41639-A6-00883,2014-01-31,MCN000001
DLV-00138508,CTR-41639-A6-00883,2014-01-31,MCN000009
DLV-00138509,CTR-41639-A6-00883,2014-01-31,MCN000009
DLV-00138510,CTR-41639-A6-00935,2014-01-31,MCN000014
DLV-00138511,CTR-41639-A6-00935,2014-01-31,MCN000009
DLV-00138512,CTR-41639-A6-00935,2014-01-31,MCN000014
DLV-00138513,CTR-41639-A6-00935,2014-01-31,MCN000009
DLV-00138514,CTR-41639-A6-00935,2014-01-31,MCN000009
DLV-00138515,CTR-41639-A6-00935,2014-01-31,MCN000001
DLV-00138516,CTR-41639-A6-00935,2014-01-31,MCN000001
DLV-00138517,CTR-41639-A6-01060,2014-01-31,MCN000009
DLV-00138518,CTR-41639-A6-01073,2014-01-31,MCN000014
DLV-00138519,CTR-41639-A6-01091,2014-01-31,MCN000014
DLV-00138520,CTR-41639-A6-01106,2014-01-31,MCN000014
DLV-00138521,CTR-41639-A6-01118,2014-01-31,MCN000009
DLV-00138522,CTR-41639-A6-01118,2014-01-31,MCN000009
DLV-00138523,CTR-41639-A6-01118,2014-01-31,MCN000009
DLV-00138524,CTR-41639-A6-01118,2014-01-31,MCN000009
DLV-00138525,CTR-41639-A6-01118,2014-01-31,MCN000001
DLV-00138526,CTR-41639-A6-01118,2014-01-31,MCN000001
DLV-00138527,CTR-41639-A6-01118,2014-01-31,MCN000009
DLV-00138528,CTR-41639-A7-00033,2014-01-31,MCN000001
DLV-00138529,CTR-41639-A7-00033,2014-01-31,MCN000009
DLV-00138530,CTR-41639-A7-00055,2014-01-31,MCN000001
DLV-00138531,CTR-41639-A7-00201,2014-01-31,MCN000009
DLV-00138532,CTR-41639-A7-00201,2014-01-31,MCN000014
DLV-00138533,CTR-41639-A7-00201,2014-01-31,MCN000009
DLV-00138534,CTR-41639-A7-00281,2014-01-31,MCN000001
DLV-00138535,CTR-41639-A7-00281,2014-01-31,MCN000014
DLV-00138536,CTR-41639-A7-00281,2014-01-31,MCN000001
DLV-00138537,CTR-41639-A7-00295,2014-01-31,MCN000009
DLV-00138538,CTR-41639-A7-00295,2014-01-31,MCN000001
DLV-00138539,CTR-41639-A7-00311,2014-01-31,MCN000009
DLV-00138540,CTR-41639-A7-00372,2014-01-31,MCN000009
DLV-00138541,CTR-41639-A7-00372,2014-01-31,MCN000014
DLV-00138542,CTR-41639-A7-00372,2014-01-31,MCN000009
DLV-00138543,CTR-41639-A7-00630,2014-01-31,MCN000014
DLV-00138544,CTR-41639-A7-00630,2014-01-31,MCN000014
DLV-00138545,CTR-41639-A7-00630,2014-01-31,MCN000014
DLV-00138546,CTR-41639-A7-00630,2014-01-31,MCN000009
DLV-00138547,CTR-41639-A7-00657,2014-01-31,MCN000009
DLV-00138548,CTR-41639-A7-00657,2014-01-31,MCN000014
DLV-00138549,CTR-41639-A7-00677,2014-01-31,MCN000009
DLV-00138550,CTR-41639-A7-00744,2014-01-31,MCN000009
DLV-00138551,CTR-41639-A7-00810,2014-01-31,MCN000009
DLV-00138552,CTR-41639-A7-00810,2014-01-31,MCN000001
DLV-00138553,CTR-41639-A7-00810,2014-01-31,MCN000014
DLV-00138554,CTR-41639-A7-00810,2014-01-31,MCN000014
DLV-00138555,CTR-41639-A7-00951,2014-01-31,MCN000014
DLV-00138556,CTR-41639-A7-00951,2014-01-31,MCN000014
DLV-00138557,CTR-41639-A7-00951,2014-01-31,MCN000014
DLV-00138558,CTR-41639-A7-00951,2014-01-31,MCN000001
DLV-00138559,CTR-41639-A7-00951,2014-01-31,MCN000001
DLV-00138560,CTR-41639-A7-00951,2014-01-31,MCN000001
DLV-00138561,CTR-41639-A7-01125,2014-01-31,MCN000009
DLV-00138562,CTR-41639-A7-01125,2014-01-31,MCN000009
DLV-00138563,CTR-41639-A7-01125,2014-01-31,MCN000001
DLV-00138564,CTR-41639-A8-00118,2014-01-31,MCN000014
DLV-00138565,CTR-41639-A8-00118,2014-01-31,MCN000009
DLV-00138566,CTR-41639-A8-00154,2014-01-31,MCN000014
DLV-00138567,CTR-41639-A8-00154,2014-01-31,MCN000009
DLV-00138568,CTR-41639-A8-00199,2014-01-31,MCN000014
DLV-00138569,CTR-41639-A8-00548,2014-01-31,MCN000001
DLV-00138570,CTR-41639-A8-00561,2014-01-31,MCN000014
DLV-00138571,CTR-41639-A8-00648,2014-01-31,MCN000009
DLV-00138572,CTR-41639-A8-00648,2014-01-31,MCN000009
DLV-00138573,CTR-41639-A8-00648,2014-01-31,MCN000001
DLV-00138574,CTR-41639-A8-00775,2014-01-31,MCN000014
DLV-00138575,CTR-41639-A8-00775,2014-01-31,MCN000009
DLV-00138576,CTR-41639-A8-00775,2014-01-31,MCN000014
DLV-00138577,CTR-41639-A8-00903,2014-01-31,MCN000014
DLV-00138578,CTR-41639-A8-00903,2014-01-31,MCN000009
DLV-00138579,CTR-41639-A8-00903,2014-01-31,MCN000009
DLV-00138580,CTR-41639-A8-00940,2014-01-31,MCN000009
DLV-00138581,CTR-41639-A8-00940,2014-01-31,MCN000009
DLV-00138582,CTR-41639-A8-00940,2014-01-31,MCN000009
DLV-00138583,CTR-41639-A8-00940,2014-01-31,MCN000014
DLV-00138584,CTR-41639-A8-01013,2014-01-31,MCN000009
DLV-00138585,CTR-41639-A8-01134,2014-01-31,MCN000009
DLV-00138586,CTR-41639-A9-00122,2014-01-31,MCN000001
DLV-00138587,CTR-41639-A9-00154,2014-01-31,MCN000014
DLV-00138588,CTR-41639-A9-00199,2014-01-31,MCN000001
DLV-00138589,CTR-41639-A9-00255,2014-01-31,MCN000014
DLV-00138590,CTR-41639-A9-00397,2014-01-31,MCN000001
DLV-00138591,CTR-41639-A9-00397,2014-01-31,MCN000001
DLV-00138592,CTR-41639-A9-00422,2014-01-31,MCN000001
DLV-00138593,CTR-41639-A9-00422,2014-01-31,MCN000014
DLV-00138594,CTR-41639-A9-00470,2014-01-31,MCN000014
DLV-00138595,CTR-41639-A9-00470,2014-01-31,MCN000001
DLV-00138596,CTR-41639-A9-00499,2014-01-31,MCN000014
DLV-00138597,CTR-41639-A9-00499,2014-01-31,MCN000001
DLV-00138598,CTR-41639-A9-00499,2014-01-31,MCN000009
DLV-00138599,CTR-41639-A9-00499,2014-01-31,MCN000009
DLV-00138600,CTR-41639-A9-00499,2014-01-31,MCN000014
DLV-00138601,CTR-41639-A9-00499,2014-01-31,MCN000001
DLV-00138602,CTR-41639-A9-00593,2014-01-31,MCN000014
DLV-00138603,CTR-41639-A9-01080,2014-01-31,MCN000014
DLV-00138604,CTR-41639-A9-01080,2014-01-31,MCN000001
DLV-00138605,CTR-41639-A9-01126,2014-01-31,MCN000009
DLV-00138606,CTR-41639-A9-01126,2014-01-31,MCN000009
DLV-00138607,CTR-41639-M1-00027,2014-01-31,MCN000005
DLV-00138608,CTR-41639-M1-00108,2014-01-31,MCN000011
DLV-00138609,CTR-41639-M1-00118,2014-01-31,MCN000005
DLV-00138610,CTR-41639-M1-00357,2014-01-31,MCN000011
DLV-00138611,CTR-41639-M1-00537,2014-01-31,MCN000020
DLV-00138612,CTR-41639-M1-00718,2014-01-31,MCN000011
DLV-00138613,CTR-41639-M1-00755,2014-01-31,MCN000018
DLV-00138614,CTR-41639-M1-00981,2014-01-31,MCN000011
DLV-00138615,CTR-41639-R1-00108,2014-01-31,MCN000021
DLV-00138616,CTR-41639-R1-00118,2014-01-31,MCN000013
DLV-00138617,CTR-41639-R1-00152,2014-01-31,MCN000015
DLV-00138618,CTR-41639-R1-00357,2014-01-31,MCN000013
DLV-00138619,CTR-41639-R1-00357,2014-01-31,MCN000008
DLV-00138620,CTR-41639-R1-00407,2014-01-31,MCN000007
DLV-00138621,CTR-41639-R1-00537,2014-01-31,MCN000015
DLV-00138622,CTR-41639-R1-00548,2014-01-31,MCN000015
DLV-00138623,CTR-41639-R1-00593,2014-01-31,MCN000006
DLV-00138624,CTR-41639-R1-00593,2014-01-31,MCN000003
DLV-00138625,CTR-41639-R1-00714,2014-01-31,MCN000007
DLV-00138626,CTR-41639-R1-00718,2014-01-31,MCN000013
DLV-00138627,CTR-41639-R1-00718,2014-01-31,MCN000007
DLV-00138628,CTR-41639-R1-00733,2014-01-31,MCN000004
DLV-00138629,CTR-41639-R1-00755,2014-01-31,MCN000022
DLV-00138630,CTR-41639-R1-00782,2014-01-31,MCN000003
DLV-00138631,CTR-41639-R1-00946,2014-01-31,MCN000012
DLV-00138632,CTR-41639-R1-00946,2014-01-31,MCN000013
DLV-00138633,CTR-41639-R1-00946,2014-01-31,MCN000017
DLV-00138634,CTR-41639-R1-00981,2014-01-31,MCN000017
DLV-00138635,CTR-41639-R1-01115,2014-01-31,MCN000022
DLV-00138636,CTR-41639-R2-00003,2014-01-31,MCN000003
DLV-00138637,CTR-41639-R2-00003,2014-01-31,MCN000022
DLV-00138638,CTR-41639-R2-00014,2014-01-31,MCN000004
DLV-00138639,CTR-41639-R2-00033,2014-01-31,MCN000016
DLV-00138640,CTR-41639-R2-00330,2014-01-31,MCN000007
DLV-00138641,CTR-41639-R2-00684,2014-01-31,MCN000016
DLV-00138642,CTR-41639-R2-00772,2014-01-31,MCN000007
DLV-00138643,CTR-41639-R2-00815,2014-01-31,MCN000021
DLV-00138644,CTR-41639-R2-01080,2014-01-31,MCN000007
DLV-00138645,CTR-41639-R2-01145,2014-01-31,MCN000017
DLV-00138646,CTR-41639-R3-00082,2014-01-31,MCN000019
DLV-00138647,CTR-41639-R3-00470,2014-01-31,MCN000021
DLV-00138648,CTR-41639-R3-00626,2014-01-31,MCN000016
DLV-00138649,CTR-41639-R3-00850,2014-01-31,MCN000013
DLV-00138650,CTR-41639-R3-00850,2014-01-31,MCN000002
DLV-00138651,CTR-41639-R3-00902,2014-01-31,MCN000015
DLV-00138652,CTR-41639-R3-01108,2014-01-31,MCN000019
